Titel;Utgivningsår (Lista);Utgivningsår (API);Antal sidor;Författare;Förlag;ISBN;Nyckelord;Avvikande år
Aldrig mer;2018;2018;430 s;Larsson, Sara;Norstedt;9789113082738;novel, Romaner;Nej
Alex;2017;1997;Okänt;Ingen författare;Forflex;Okänt;Okänt;Ja
All denna vrede;2021;2021;407 s;Hunter, Cara;Louise Bäckelin förlag;9789177992530;novel, Deckare, Romaner;Nej
Alla kan se dig;2015;2015;Okänt;Jansson, Anna;Norstedts;9789113065564;novel, Deckare, Romaner, Skönlitteratur, E-böcker, Deckare & spänning;Nej
Alla ljuger;2021;2021;Okänt;Grebe, Camilla;Wahlström & Widstrand;9789146236597;novel, Psykologiska skildringar, Thrillers, Romaner;Nej
Allt att förlora;2015;2015;840 s;Durrant, Sabine;MTM;Okänt;novel;Nej
Allt vi inte sa;2021;2022;311 s;Osman, Sara;Albert Bonniers förlag;9789100196301;novel, Romaner;Ja
Allt är mitt;2022;2019;185 s;Männistö, Ville;Livets Ords Förlag;9789188430915;Okänt;Ja
Alltid en dotter;2020;Okänt;254 s;Engel, Amy;Albert Bonniers förlag;9789100181321;novel, Deckare & spänning, E-böcker;Ja
Allting trasigt ska bli helt;2015;Okänt;Okänt;Mo, Johanna;Bokförlaget Forum;9789137145174;novel, Deckare, Romaner, E-böcker, Deckare & spänning;Ja
Andra sidan månen;2022;2022;282 s;Jungstedt, Mari;Albert Bonniers förlag;9789100183318;novel, Deckare, Romaner;Nej
Andras döttrar;2017;2017;262 s;Gentry, Amy;Albert Bonniers förlag;9789100169688;novel, Psykologiska skildringar, Thrillers, Romaner;Nej
Angelika;2019;1972;434 s;Golon, Sergeanne;Tammi;951-30-2238-2;Okänt;Ja
Annabelle;2017;2017;312 s;Bengtsdotter, Lina;Forum;9789137149691;novel, Deckare, Romaner;Nej
Arktiska nätter;2021;2022;340 s;Blunt, Giles;Inläst för Myndigheten för tillgängliga medier, MTM;9789130020195;Romaner, Deckare, Talböcker, Roman;Ja
Arvet;2019;2012;Okänt;Ingen författare;Studio S Entertainment;Okänt;videorecording;Ja
Aska;2021;Okänt;Okänt;Ingen författare;1981-1990;Okänt;Okänt;Ja
